episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_td_error,info/learner/default_policy/q_loss,info/learner/default_policy/combined_loss,info/learner/default_policy/hand_inference_loss
6.0,0.0,3.4113475177304964,70.94326241134752,141,10003,False,310049,5000,31,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_21-59-14,1584133154,104.96859455108643,3385.8808448314667,2284,carl-1070,192.168.0.3,3385.8808448314667,310049,31,0,98097f46,0_aux_loss_formula=0.01,3.351525284595577,0.4263585131456718,2.367949995830456,0.020000000000000018,0.020000000000000018,616,2413920,310049,23.226,4.635,10.582,0.002,3024.025,32.0,92.85220588235295,35.75735294117647,0.3886029411764706,0.2794878671034703,2.499999936844688e-05,1.2011032,0.1077989,0.13152413,2.4803216
7.0,0.0,3.475177304964539,70.81560283687944,141,10001,False,320050,5141,32,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_22-01-04,1584133264,110.94079422950745,3496.821639060974,2284,carl-1070,192.168.0.3,3496.821639060974,320050,32,0,98097f46,0_aux_loss_formula=0.01,3.353238583275563,0.42603789020250776,2.3691096832037584,0.020000000000000018,0.020000000000000018,636,2491936,320050,42.127,8.988,16.163,0.004,1979.785,32.0,94.06180555555554,36.139583333333334,0.35326388888888893,0.2802531693226001,2.499999936844688e-05,1.226923,0.10860856,0.13343689,2.5914416
7.0,0.0,3.4125874125874125,70.18881118881119,143,10001,False,330051,5284,33,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_22-03-01,1584133381,116.0655345916748,3612.887173652649,2284,carl-1070,192.168.0.3,3612.887173652649,330051,33,0,98097f46,0_aux_loss_formula=0.01,3.3603014411943026,0.4265416842503381,2.3725068007006556,0.020000000000000018,0.020000000000000018,656,2570496,330051,29.54,5.493,10.977,0.003,2915.102,32.0,94.00805369127518,37.030201342281885,0.3965771812080537,0.2811853956556111,2.499999936844688e-05,1.2063488,0.106919356,0.1295376,2.368744
6.0,0.0,3.6,68.95862068965518,145,10003,False,340054,5429,34,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_22-04-53,1584133493,112.88769507408142,3725.7748687267303,2284,carl-1070,192.168.0.3,3725.7748687267303,340054,34,0,98097f46,0_aux_loss_formula=0.01,3.363307730146144,0.4265561320127725,2.3742415457142765,0.020000000000000018,0.020000000000000018,676,2648832,340054,26.527,5.432,10.208,0.002,3134.881,32.0,94.29794520547945,36.92054794520548,0.3656164383561644,0.2828237136858025,2.499999936844688e-05,0.9982914,0.08152571,0.102465324,2.175487
7.0,0.0,3.238095238095238,67.82312925170068,147,10002,False,350056,5576,35,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_22-06-36,1584133596,102.62265396118164,3828.397522687912,2284,carl-1070,192.168.0.3,3828.397522687912,350056,35,0,98097f46,0_aux_loss_formula=0.01,3.3572216582340495,0.42547729365016407,2.368912961505749,0.020000000000000018,0.020000000000000018,696,2726912,350056,25.205,6.185,11.336,0.003,2822.879,32.0,92.83208955223881,36.58731343283582,0.3719402985074627,0.283144406111385,2.499999936844688e-05,1.0906924,0.083709255,0.106798895,2.3926735
6.0,0.0,3.4265734265734267,69.9090909090909,143,10001,False,360057,5719,36,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_22-08-20,1584133700,103.68172907829285,3932.079251766205,2284,carl-1070,192.168.0.3,3932.079251766205,360057,36,0,98097f46,0_aux_loss_formula=0.01,3.3536783310222957,0.4247792576063362,2.363980043392667,0.020000000000000018,0.020000000000000018,716,2805152,360057,25.563,4.895,10.721,0.002,2984.832,32.0,93.04074074074074,36.56,0.34977777777777774,0.2830914699815637,2.499999936844688e-05,1.3611114,0.1041836,0.12780522,2.466346
7.0,0.0,3.4577464788732395,70.54225352112677,142,10001,False,370058,5861,37,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_22-10-02,1584133802,102.6212272644043,4034.700479030609,2284,carl-1070,192.168.0.3,4034.700479030609,370058,37,0,98097f46,0_aux_loss_formula=0.01,3.3485622276791744,0.42361945789905614,2.358916382035795,0.020000000000000018,0.020000000000000018,736,2883488,370058,20.906,5.272,12.248,0.002,2612.663,32.0,92.96015037593986,36.61654135338346,0.36496240601503765,0.2830971588656215,2.499999936844688e-05,1.1109339,0.09163867,0.114689656,2.3967373
6.0,0.0,3.6690647482014387,71.74820143884892,139,10001,False,380059,6000,38,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_22-11-48,1584133908,106.04951286315918,4140.749991893768,2284,carl-1070,192.168.0.3,4140.749991893768,380059,38,0,98097f46,0_aux_loss_formula=0.01,3.3462924121794435,0.4230022062814322,2.3560986467282166,0.020000000000000018,0.020000000000000018,756,2961920,380059,22.433,5.111,11.48,0.002,2787.376,32.0,93.46304347826087,36.64420289855072,0.35942028985507246,0.2827328019085578,2.499999936844688e-05,1.1841073,0.09296028,0.1159541,2.3923419
6.0,0.0,3.5384615384615383,70.26573426573427,143,10000,False,390059,6143,39,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_22-13-42,1584134022,113.9084939956665,4254.658485889435,2284,carl-1070,192.168.0.3,4254.658485889435,390059,39,0,98097f46,0_aux_loss_formula=0.01,3.3515316256634824,0.423258792198105,2.3592467967721555,0.020000000000000018,0.020000000000000018,776,3040320,390059,24.766,5.523,11.571,0.003,2765.551,32.0,93.721768707483,34.493877551020404,0.36367346938775513,0.27033524104565426,2.499999936844688e-05,1.1826557,0.12435931,0.14571251,2.2596798
6.0,0.0,3.4964028776978417,72.0863309352518,139,10000,False,400059,6282,40,ed11392d778b420e824aebfd8e4cd3c2,2020-03-13_22-15-28,1584134128,105.42518210411072,4360.0836679935455,2284,carl-1070,192.168.0.3,4360.0836679935455,400059,40,0,98097f46,0_aux_loss_formula=0.01,3.348153540522681,0.4228606711680384,2.356987961403029,0.020000000000000018,0.020000000000000018,795,3118496,400059,23.784,5.551,11.521,0.002,2777.564,32.0,92.94420289855073,29.91086956521739,0.36166666666666664,0.248781258705295,2.499999936844688e-05,1.0565223,0.103740595,0.12683931,2.4136117
